Size Class,Q4_r24_p,Q4_r24_p_se
"Total U.S., private sector",69.79,0.56
Size Class 1 (1-4),65.44,0.96
Size Class 2 (5-9),70.07,0.93
Size Class 3 (10-19),75.15,0.86
Size Class 4 (20-49),78.74,0.83
Size Class 5 (50-99),84.85,0.95
Size Class 6 (100-249),84.65,1.09
Size Class 7 (250-499),80.99,1.2
Size Class 8 (500-999),89.28,0.98
Size Class 9 (1000+),90.48,1.18
Small (1-499),69.75,0.57
Large (500+),89.7,0.76
