Industry,NAICS,Q2_r62_p,Q2_r62_p_se
"Total U.S., private sector",00,79.51,0.55
"Agriculture, Forestry, Fishing and Hunting",11,68.63,2.42
"Mining, Quarrying, and Oil and Gas Extraction",21,79.11,0.82
Utilities,22,43.36,1.53
Construction,23,81.41,1.79
Manufacturing,31-33,89.47,0.88
Wholesale Trade,42,76.54,2.6
Retail Trade,44-45,90.75,0.67
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,84.02,1.44
Scheduled Air Transportation,4811,84.6,1.99
Truck Transportation,484,67.56,0.49
Information,51,54.48,4.15
Finance and Insurance,52,52.54,3.09
Real Estate and Rental and Leasing,53,72.14,3.99
Professional and Technical Services,54,65.99,2.15
Management of Companies and Enterprises,55,77.73,1.03
Administrative and Waste Services,56,79.16,3.41
Educational Services,61,82.54,2.38
Health Care,621-623,92.79,0.66
Social Assistance,624,86.37,1.13
"Arts, Entertainment, and Recreation",71,86.83,1.64
Accommodation and Food Services,72,93.57,0.49
"Other Services, Except Public Administration",81,84.45,1.81
