Industry,NAICS,Q1_r53_p,Q1_r53_p_se
"Total U.S., private sector",00,29.31,0.38
"Agriculture, Forestry, Fishing and Hunting",11,20.46,2.22
"Mining, Quarrying, and Oil and Gas Extraction",21,6.72,1.35
Utilities,22,17.69,2.22
Construction,23,35.82,0.99
Manufacturing,31-33,31.56,0.86
Wholesale Trade,42,24.38,1.51
Retail Trade,44-45,52.29,1.15
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,19.45,2.31
Scheduled Air Transportation,4811,12.94,2.01
Truck Transportation,484,16.13,3.09
Information,51,12.33,1.77
Finance and Insurance,52,11.78,1.08
Real Estate and Rental and Leasing,53,18.98,1.67
Professional and Technical Services,54,10.77,0.87
Management of Companies and Enterprises,55,20.2,1.67
Administrative and Waste Services,56,23.3,1.63
Educational Services,61,9.82,1.47
Health Care,621-623,49.81,1.27
Social Assistance,624,36.18,6.09
"Arts, Entertainment, and Recreation",71,19.55,3.39
Accommodation and Food Services,72,43.13,1.37
"Other Services, Except Public Administration",81,26.19,1.73
