Size Class,Q1_r57_p,Q1_r57_p_se
"Total U.S., private sector",14.01,0.32
Size Class 1 (1-4),11.91,0.48
Size Class 2 (5-9),15.68,0.64
Size Class 3 (10-19),16.52,0.87
Size Class 4 (20-49),17.95,0.99
Size Class 5 (50-99),18.32,1.3
Size Class 6 (100-249),13.22,1.18
Size Class 7 (250-499),15.69,1.4
Size Class 8 (500-999),17.7,0.91
Size Class 9 (1000+),18.58,1.17
Small (1-499),14.0,0.32
Large (500+),18.01,0.72
