Size Class,Q2_r62_p,Q2_r62_p_se
"Total U.S., private sector",79.51,0.55
Size Class 1 (1-4),77.27,0.93
Size Class 2 (5-9),79.39,1.06
Size Class 3 (10-19),83.2,0.7
Size Class 4 (20-49),84.75,0.77
Size Class 5 (50-99),84.92,0.83
Size Class 6 (100-249),84.99,0.79
Size Class 7 (250-499),83.47,1.2
Size Class 8 (500-999),81.58,0.74
Size Class 9 (1000+),85.19,1.15
Small (1-499),79.51,0.55
Large (500+),82.84,0.62
