Industry,NAICS,Q1_r57_p,Q1_r57_p_se
"Total U.S., private sector",00,14.01,0.32
"Agriculture, Forestry, Fishing and Hunting",11,1.43,1.71
"Mining, Quarrying, and Oil and Gas Extraction",21,1.52,1.03
Utilities,22,4.49,1.66
Construction,23,9.02,0.63
Manufacturing,31-33,9.71,0.6
Wholesale Trade,42,5.91,1.0
Retail Trade,44-45,17.85,0.83
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,14.98,3.09
Scheduled Air Transportation,4811,3.31,2.01
Truck Transportation,484,3.9,1.13
Information,51,11.74,2.6
Finance and Insurance,52,4.82,0.7
Real Estate and Rental and Leasing,53,8.08,1.34
Professional and Technical Services,54,7.93,0.76
Management of Companies and Enterprises,55,8.8,1.44
Administrative and Waste Services,56,9.94,1.24
Educational Services,61,34.98,2.15
Health Care,621-623,14.14,0.92
Social Assistance,624,25.24,5.87
"Arts, Entertainment, and Recreation",71,33.76,1.93
Accommodation and Food Services,72,31.44,1.33
"Other Services, Except Public Administration",81,24.1,1.73
