Size Class,Q1_r54_p,Q1_r54_p_se
"Total U.S., private sector",42.88,0.43
Size Class 1 (1-4),42.76,0.64
Size Class 2 (5-9),41.48,0.98
Size Class 3 (10-19),42.4,1.1
Size Class 4 (20-49),45.08,1.25
Size Class 5 (50-99),44.21,1.55
Size Class 6 (100-249),49.09,1.37
Size Class 7 (250-499),49.19,1.69
Size Class 8 (500-999),51.3,1.19
Size Class 9 (1000+),55.04,1.58
Small (1-499),42.86,0.43
Large (500+),52.61,0.95
