Size Class,Q3_r71_p,Q3_r71_p_se
"Total U.S., private sector",54.11,0.37
Size Class 1 (1-4),50.04,0.59
Size Class 2 (5-9),55.05,0.72
Size Class 3 (10-19),58.79,0.72
Size Class 4 (20-49),62.84,0.79
Size Class 5 (50-99),67.12,1.08
Size Class 6 (100-249),63.45,1.51
Size Class 7 (250-499),61.96,1.5
Size Class 8 (500-999),68.86,1.15
Size Class 9 (1000+),68.94,1.48
Small (1-499),54.08,0.37
Large (500+),68.89,0.91
