Size Class,Q3_r22_p,Q3_r22_p_se
"Total U.S., private sector",37.6,0.57
Size Class 1 (1-4),34.59,0.89
Size Class 2 (5-9),42.07,1.12
Size Class 3 (10-19),39.45,1.41
Size Class 4 (20-49),39.91,1.11
Size Class 5 (50-99),40.78,1.45
Size Class 6 (100-249),46.88,1.31
Size Class 7 (250-499),44.69,1.54
Size Class 8 (500-999),57.91,1.27
Size Class 9 (1000+),64.83,1.59
Small (1-499),37.55,0.57
Large (500+),60.33,1.0
