Size Class,Q1_r53_p,Q1_r53_p_se
"Total U.S., private sector",29.31,0.38
Size Class 1 (1-4),23.13,0.53
Size Class 2 (5-9),34.47,0.92
Size Class 3 (10-19),37.18,1.08
Size Class 4 (20-49),38.45,1.17
Size Class 5 (50-99),39.22,1.58
Size Class 6 (100-249),39.03,1.19
Size Class 7 (250-499),34.83,1.5
Size Class 8 (500-999),36.96,1.13
Size Class 9 (1000+),44.66,1.47
Small (1-499),29.29,0.38
Large (500+),39.66,0.9
