Size Class,Q1_r50_p,Q1_r50_p_se
"Total U.S., private sector",21.35,0.29
Size Class 1 (1-4),18.39,0.44
Size Class 2 (5-9),25.51,0.66
Size Class 3 (10-19),24.32,0.6
Size Class 4 (20-49),25.78,0.63
Size Class 5 (50-99),22.87,1.05
Size Class 6 (100-249),20.66,1.41
Size Class 7 (250-499),19.5,1.33
Size Class 8 (500-999),17.36,1.0
Size Class 9 (1000+),19.03,1.42
Small (1-499),21.36,0.29
Large (500+),17.95,0.82
