Size Class,Q3_r75_p,Q3_r75_p_se
"Total U.S., private sector",47.99,0.45
Size Class 1 (1-4),44.03,0.67
Size Class 2 (5-9),50.66,1.04
Size Class 3 (10-19),51.27,1.2
Size Class 4 (20-49),54.82,1.17
Size Class 5 (50-99),59.09,1.55
Size Class 6 (100-249),57.95,1.36
Size Class 7 (250-499),59.5,1.35
Size Class 8 (500-999),64.9,1.18
Size Class 9 (1000+),68.04,1.57
Small (1-499),47.95,0.45
Large (500+),66.0,0.94
