Industry,NAICS,Q3_r22_p,Q3_r22_p_se
"Total U.S., private sector",00,37.6,0.57
"Agriculture, Forestry, Fishing and Hunting",11,54.79,2.31
"Mining, Quarrying, and Oil and Gas Extraction",21,23.84,1.28
Utilities,22,82.74,1.6
Construction,23,31.56,1.35
Manufacturing,31-33,38.19,1.3
Wholesale Trade,42,43.22,2.08
Retail Trade,44-45,36.18,1.47
Transportation and Warehousing (excluding Scheduled Air Transportation and Truck Transportation),48-49A,46.43,3.53
Scheduled Air Transportation,4811,30.24,3.31
Truck Transportation,484,30.67,3.17
Information,51,29.78,3.26
Finance and Insurance,52,67.84,2.13
Real Estate and Rental and Leasing,53,54.61,3.19
Professional and Technical Services,54,36.75,1.83
Management of Companies and Enterprises,55,56.16,1.96
Administrative and Waste Services,56,32.8,2.79
Educational Services,61,39.7,1.75
Health Care,621-623,39.19,1.57
Social Assistance,624,51.19,8.68
"Arts, Entertainment, and Recreation",71,20.51,1.95
Accommodation and Food Services,72,20.0,1.38
"Other Services, Except Public Administration",81,26.5,2.32
