Size Class,Q1_r47_p,Q1_r47_p_se
"Total U.S., private sector",65.15,0.35
Size Class 1 (1-4),66.51,0.55
Size Class 2 (5-9),62.63,0.75
Size Class 3 (10-19),63.57,0.75
Size Class 4 (20-49),64.15,0.78
Size Class 5 (50-99),65.09,1.14
Size Class 6 (100-249),67.03,1.45
Size Class 7 (250-499),66.58,1.41
Size Class 8 (500-999),70.65,1.41
Size Class 9 (1000+),66.73,1.62
Small (1-499),65.14,0.35
Large (500+),69.28,1.08
