Size Class,Q6_r59_p,Q6_r59_p_se,Q6_r59_estab,Q6_r59_estab_se,Q6_r59_pemp,Q6_r59_pemp_se,Q6_r59_emp,Q6_r59_emp_se
"Total U.S., private sector",13.85,0.23,1170973.0,19740.0,28.07,0.43,35447235.0,543512.0
Size Class 1 (1-4),8.68,0.35,394809.0,16033.0,8.65,0.4,658457.0,30702.0
Size Class 2 (5-9),14.44,0.43,229775.0,6835.0,14.43,0.43,1428285.0,42272.0
Size Class 3 (10-19),19.34,0.59,214449.0,6511.0,19.27,0.58,2798318.0,84594.0
Size Class 4 (20-49),24.58,0.69,188376.0,5310.0,24.61,0.69,5586530.0,157712.0
Size Class 5 (50-99),30.13,1.25,74999.0,3111.0,30.23,1.26,5127040.0,212924.0
Size Class 6 (100-249),35.6,1.65,49282.0,2282.0,35.59,1.66,7333165.0,341351.0
Size Class 7 (250-499),36.34,1.84,12668.0,641.0,36.4,1.84,4302374.0,217233.0
Size Class 8 (500-999),35.4,0.96,4204.0,114.0,35.41,0.97,2864643.0,78394.0
Size Class 9 (1000+),37.67,1.46,2411.0,93.0,38.01,1.52,5348422.0,213197.0
Small (1-499),13.8,0.23,1164359.0,19740.0,26.16,0.47,27234170.0,493768.0
Large (500+),36.19,0.81,6615.0,148.0,37.06,1.02,8213064.0,227153.0
