Size Class,Q2_r63_p,Q2_r63_p_se
"Total U.S., private sector",54.07,0.36
Size Class 1 (1-4),49.15,0.59
Size Class 2 (5-9),56.64,0.62
Size Class 3 (10-19),59.32,0.74
Size Class 4 (20-49),63.42,0.75
Size Class 5 (50-99),66.53,1.11
Size Class 6 (100-249),65.63,1.49
Size Class 7 (250-499),62.75,1.61
Size Class 8 (500-999),68.41,1.02
Size Class 9 (1000+),70.41,1.49
Small (1-499),54.03,0.36
Large (500+),69.11,0.84
